001,AA,2018
002,XA,2017
003,FC,2018
004,FD,2017
005,AA,2016
006,FC,2021
007,XA,2013
008,FD,2013
009,AA,2017
010,FD,2022
011,XA,2021
012,FC,2019
013,FC,2015
014,FC,2017
015,FC,2017
016,AA,2017
017,AA,2016
018,XA,2019
019,AA,2018
020,XA,2021
021,FC,2017
022,XA,2013
023,FC,2022
024,FD,2019
025,AA,2020
026,AA,2022
027,AA,2022
028,FD,2021
029,FC,2018
030,FD,2020
031,FD,2015
032,FD,2020
033,XA,2021
034,FC,2013
035,FD,2015
036,AA,2021
037,FC,2017
038,XA,2016
039,AA,2021
040,AA,2018
041,FD,2021
042,FC,2016
043,XA,2019
044,FD,2017
045,FD,2019
046,FD,2013
047,XA,2021
048,FD,2022
049,AA,2013
050,AA,2015
051,XA,2015
052,FD,2022
053,FD,2015
054,XA,2020
055,XA,2019
056,FC,2015
057,XA,2018
058,FD,2013
059,XA,2015
060,AA,2013
061,XA,2013
062,FD,2015
063,AA,2019
064,FD,2022
065,XA,2019
066,AA,2018
067,XA,2014
068,FD,2019
069,XA,2017
070,AA,2022
071,FC,2017
072,XA,2020
073,XA,2017
074,AA,2021
075,FD,2019
076,AA,2022
077,FD,2019
078,XA,2017
079,XA,2013
080,FC,2014
081,FD,2018
082,AA,2017
083,FC,2020
084,FD,2016
085,XA,2015
086,FC,2013
087,AA,2017
088,AA,2020
089,XA,2013
090,XA,2020
091,AA,2020
092,XA,2022
093,XA,2013
094,AA,2015
095,AA,2021
096,FC,2022
097,AA,2022
098,AA,2017
099,FC,2014
100,FC,2020
101,FD,2014
102,AA,2021
103,FC,2013
104,FC,2019
105,XA,2016
106,FD,2019
107,FC,2019
108,XA,2019
109,XA,2013
110,FC,2013
111,AA,2020
112,AA,2017
113,FD,2022
114,FC,2013
115,FD,2020
116,FC,2014
117,FD,2022
118,AA,2021
119,FC,2018
120,XA,2017
121,XA,2016
122,FC,2014
123,FD,2015
124,XA,2018
125,FD,2021
126,FD,2015
127,FD,2022
128,XA,2022
129,FC,2015
130,AA,2017
131,XA,2015
132,XA,2015
133,XA,2013
134,AA,2018
135,AA,2013
136,XA,2021
137,XA,2013
138,FD,2017
139,XA,2017
140,FC,2021
141,FC,2015
142,AA,2019
143,FC,2021
144,AA,2014
145,XA,2021
146,XA,2019
147,AA,2021
148,FC,2021
149,AA,2014
150,AA,2019
151,FD,2021
152,FC,2022
153,AA,2017
154,FC,2018
155,AA,2021
156,AA,2015
157,XA,2016
158,FC,2020
159,XA,2021
160,FD,2022
161,FC,2015
162,AA,2021
163,AA,2016
164,FD,2017
165,XA,2019
166,XA,2016
167,FD,2019
168,FD,2022
169,FC,2020
170,FC,2022
171,FD,2016
172,AA,2014
173,AA,2015
174,XA,2021
175,FC,2019
176,FD,2016
177,XA,2014
178,XA,2019
179,FD,2013
180,FD,2020
181,FC,2019
182,AA,2013
183,FC,2018
184,AA,2018
185,AA,2015
186,AA,2020
187,XA,2018
188,FC,2014
189,FD,2020
190,FD,2018
191,XA,2022
192,FC,2015
193,FC,2013
194,FD,2020
195,FC,2019
196,AA,2013
197,AA,2020
198,FC,2022
199,AA,2014
200,FC,2013
201,XA,2021
202,FD,2017
203,AA,2022
204,XA,2019
205,XA,2015
206,XA,2017
207,FC,2015
208,AA,2017
209,FC,2017
210,XA,2016
211,FC,2020
212,AA,2014
213,XA,2019
214,FD,2022
215,FC,2022
216,FD,2015
217,XA,2013
218,FD,2015
219,XA,2017
220,AA,2016
221,FD,2020
222,FC,2015
223,FD,2018
224,XA,2019
225,FC,2017
226,FC,2020
227,FD,2017
228,FD,2018
229,FD,2018
230,XA,2016
231,AA,2013
232,AA,2015
233,FC,2017
234,FC,2018
235,FC,2016
236,XA,2018
237,XA,2013
238,FC,2013
239,AA,2022
240,FD,2018
241,XA,2021
242,FC,2018
243,FD,2013
244,AA,2016
245,AA,2014
246,XA,2020
247,FC,2019
248,FC,2022
249,AA,2015
250,XA,2015
251,FD,2013
252,AA,2018
253,FD,2019
254,FD,2015
255,XA,2015
256,FD,2019
257,FC,2017
258,FC,2016
259,FC,2013
260,XA,2019
261,AA,2020
262,XA,2013
263,XA,2020
264,AA,2015
265,XA,2015
266,XA,2017
267,XA,2015
268,AA,2017
269,FC,2019
270,FD,2020
271,XA,2016
272,AA,2018
273,AA,2019
274,FC,2013
275,FC,2015
276,XA,2016
277,AA,2020
278,FD,2018
279,FC,2017
280,FD,2014
281,AA,2018
282,AA,2019
283,FD,2018
284,XA,2016
285,FC,2022
286,FD,2019
287,FD,2022
288,AA,2013
289,AA,2018
290,FD,2016
291,FD,2020
292,XA,2016
293,AA,2022
294,FD,2017
295,FD,2017
296,FD,2016
297,FD,2020
298,XA,2021
299,FC,2019
300,FD,2018
301,FD,2015
302,FD,2016
303,FD,2014
304,AA,2013
305,FC,2019
306,AA,2022
307,FD,2016
308,FD,2016
309,FD,2020
310,AA,2013
311,AA,2021
312,FC,2014
313,AA,2015
314,FC,2017
315,FD,2015
316,XA,2019
317,XA,2017
318,FD,2015
319,FD,2020
320,FD,2022
321,XA,2018
322,FD,2013
323,AA,2013
324,FD,2017
325,FC,2013
326,FC,2013
327,FC,2013
328,FD,2022
329,XA,2013
330,XA,2017
331,FC,2014
332,FC,2016
333,FC,2020
334,FD,2015
335,XA,2018
336,XA,2014
337,AA,2020
338,FD,2018
339,AA,2019
340,FD,2019
341,AA,2019
342,AA,2016
343,FD,2017
344,AA,2013
345,XA,2022
346,AA,2014
347,FD,2018
348,FD,2017
349,FD,2016
350,AA,2018
351,FC,2019
352,XA,2017
353,AA,2022
354,FD,2017
355,AA,2013
356,FD,2022
357,XA,2013
358,XA,2016
359,AA,2018
360,XA,2016
361,AA,2018
362,XA,2013
363,FC,2015
364,FC,2016
365,FD,2019
366,FC,2013
367,XA,2015
368,AA,2021
369,FD,2014
370,XA,2020
371,FD,2020
372,XA,2020
373,XA,2019
374,FD,2013
375,FD,2019
376,AA,2013
377,XA,2013
378,FC,2013
379,FC,2015
380,FC,2015
381,AA,2020
382,XA,2017
383,FC,2021
384,XA,2020
385,FC,2018
386,FD,2014
387,FC,2017
388,AA,2019
389,FD,2014
390,AA,2022
391,FC,2018
392,FD,2013
393,AA,2021
394,XA,2016
395,XA,2018
396,FC,2014
397,AA,2014
398,FC,2021
399,XA,2016
400,AA,2018
401,AA,2017
402,FC,2013
403,FD,2020
404,FC,2017
405,FD,2020
406,FD,2022
407,FD,2017
408,AA,2016
409,FD,2022
410,XA,2017
411,FD,2016
412,AA,2014
413,FD,2021
414,AA,2018
415,AA,2020
416,AA,2017
417,XA,2015
418,FC,2013
419,XA,2015
420,FD,2019
421,FC,2014
422,FD,2017
423,FC,2022
424,FD,2020
425,FC,2013
426,AA,2013
427,FC,2016
428,AA,2022
429,AA,2015
430,FD,2013
431,XA,2016
432,FC,2020
433,XA,2021
434,AA,2017
435,FC,2019
436,XA,2015
437,AA,2019
438,FD,2013
439,FC,2018
440,AA,2015
441,FD,2018
442,AA,2020
443,XA,2013
444,XA,2022
445,FC,2013
446,FC,2013
447,FD,2014
448,XA,2014
449,XA,2013
450,AA,2013
451,FD,2021
452,FD,2017
453,FC,2017
454,FD,2019
455,FD,2017
456,AA,2020
457,FD,2018
458,XA,2020
459,FC,2019
460,AA,2018
461,XA,2016
462,AA,2020
463,FC,2021
464,FD,2020
465,FC,2015
466,FC,2021
467,XA,2014
468,FC,2021
469,XA,2016
470,XA,2019
471,XA,2015
472,FD,2020
473,FC,2014
474,XA,2020
475,AA,2020
476,XA,2020
477,FC,2014
478,FC,2014
479,XA,2016
480,XA,2017
481,AA,2022
482,FD,2018
483,FD,2022
484,FC,2013
485,FD,2016
486,AA,2018
487,AA,2016
488,AA,2020
489,XA,2018
490,XA,2021
491,AA,2014
492,FC,2016
493,FC,2021
494,AA,2017
495,FD,2017
496,XA,2019
497,FC,2021
498,FC,2014
499,AA,2019
500,XA,2022
501,AA,2018
502,XA,2015
503,FD,2014
504,AA,2017
505,AA,2020
506,XA,2019
507,XA,2021
508,XA,2018
509,AA,2020
510,FC,2018
511,XA,2018
512,XA,2020
513,XA,2018
514,FD,2016
515,XA,2019
516,AA,2018
517,XA,2018
518,FC,2015
519,FD,2017
520,AA,2013
521,AA,2021
522,AA,2017
523,XA,2014
524,AA,2020
525,AA,2016
526,XA,2021
527,AA,2014
528,AA,2015
529,FD,2018
530,XA,2015
531,AA,2022
532,AA,2019
533,FC,2020
534,XA,2018
535,FD,2014
536,FC,2019
537,FC,2016
538,AA,2013
539,FC,2019
540,FD,2013
541,XA,2015
542,AA,2015
543,FC,2022
544,FC,2022
545,FD,2015
546,FC,2014
547,FD,2018
548,FD,2013
549,XA,2014
550,XA,2015
551,AA,2013
552,FC,2020
553,AA,2016
554,AA,2022
555,AA,2019
556,XA,2018
557,AA,2022
558,FC,2015
559,XA,2022
560,AA,2020
561,FC,2021
562,FC,2017
563,AA,2018
564,FD,2013
565,FC,2014
566,FC,2020
567,FD,2018
568,XA,2021
569,XA,2022
570,XA,2015
571,FC,2015
572,AA,2021
573,AA,2013
574,FC,2014
575,AA,2018
576,FC,2018
577,XA,2013
578,XA,2020
579,FD,2015
580,FC,2021
581,FC,2015
582,FD,2013
583,FC,2018
584,XA,2014
585,AA,2021
586,AA,2013
587,XA,2013
588,FD,2013
589,AA,2016
590,AA,2014
591,XA,2015
592,FD,2016
593,XA,2014
594,FD,2013
595,XA,2016
596,AA,2018
597,FC,2020
598,FD,2018
599,AA,2020
600,FC,2014
601,FC,2014
602,FD,2019
603,AA,2021
604,FC,2022
605,FC,2022
606,XA,2013
607,FD,2013
608,XA,2020
609,FD,2018
610,FD,2015
